User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,ASIAT5DJCWO5X4UTV3M2,2021-04-11T04:12:11Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,201.191.218.197,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.970 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trail-test-bucket""}]",VTHPRDY1DGAA8G9V,0b0db0e2-fab1-40cf-9242-4a3449942eb1,false,AwsApiCall,268655834043,Management
root,ASIAT5DJCWO5X4UTV3M2,2021-04-11T04:12:10Z,s3.amazonaws.com,CreateBucket,us-east-1,201.191.218.197,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.970 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trail-test-bucket""}]",VTHWEMQ3HCTPPHKC,6eb6fcce-4d8b-4bef-bd08-a273151287b0,false,AwsApiCall,268655834043,Management
root,,2021-04-11T04:11:29Z,signin.amazonaws.com,ConsoleLogin,us-east-1,201.191.218.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,[],,9827baf5-889f-4091-a264-dc8d12b936ed,false,AwsConsoleSignIn,268655834043,Management
CloudTrail,ASIAT5DJCWO5UPN4QYYO,2021-04-11T04:07:43Z,s3.amazonaws.com,CreateBucket,us-east-1,201.191.218.197,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.970 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trail-test-bucket""}]",KGCJYAQRFJK98ZCZ,1d41ca7a-024d-4cee-b9d0-0bc578ba250e,false,AwsApiCall,268655834043,Management
CloudTrail,ASIAT5DJCWO5WIA5SDFV,2021-04-11T04:06:25Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,201.191.218.197,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:268655834043:trail/Udacity_Trail""}]",b8de5985-1e85-46e0-998f-2df45a5773f5,07cf9b8a-7bd7-4639-a2ff-e10ab5691bdf,false,AwsApiCall,268655834043,Management
CloudTrail,ASIAT5DJCWO5WIA5SDFV,2021-04-11T04:06:25Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,201.191.218.197,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:268655834043:trail/Udacity_Trail""}]",dc23386a-fc18-4cb4-8687-73eea5117b26,25f324a8-025d-4e18-b39d-35d50674dc42,false,AwsApiCall,268655834043,Management
CloudTrail,ASIAT5DJCWO5WIA5SDFV,2021-04-11T04:06:25Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,201.191.218.197,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:268655834043:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-268655834043-94f4acf9""}]",bec2b921-65f2-4764-b09c-d7a8886e0735,7a59e650-fed7-414e-b9a6-010816f2e978,false,AwsApiCall,268655834043,Management
CloudTrail,ASIAT5DJCWO5WIA5SDFV,2021-04-11T04:05:18Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,201.191.218.197,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:268655834043:trail/Udacity_Trail""}]",d6097a1e-bf34-41fc-b0d7-6d3d987ef413,29ab87ae-d779-4cb7-a355-ea8f95b1ad08,false,AwsApiCall,268655834043,Management
CloudTrail,ASIAT5DJCWO5WIA5SDFV,2021-04-11T04:05:18Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,201.191.218.197,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:268655834043:trail/Udacity_Trail""}]",fc94c389-331d-4991-ac31-d8f38821fcf4,2e676336-624e-4f27-a81d-75a4451edbf8,false,AwsApiCall,268655834043,Management
CloudTrail,ASIAT5DJCWO5WIA5SDFV,2021-04-11T04:05:18Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,201.191.218.197,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:268655834043:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-268655834043-94f4acf9""}]",dd64aef0-6c82-477f-ba4b-d217a4afc64b,6f65e03a-ffac-4dde-a3d5-2501d524286e,false,AwsApiCall,268655834043,Management
CloudTrail,ASIAT5DJCWO5WIA5SDFV,2021-04-11T04:04:22Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,201.191.218.197,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.984 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation cfg/retry-mode/legacy]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-268655834043-94f4acf9""}]",RFC2PSTQWRBJZTRE,372c867b-92c6-4d65-b477-415a4def485c,false,AwsApiCall,268655834043,Management
